interview__key,ctry,region,consti,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"10-50-64-24","Namibia","Zambezi","Kabbe South","Impalila North","300016043615","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"13-56-95-25","Namibia","Zambezi","Kabbe South","Impalila South","300016043707","Yes",,,"",,"No",1,"Representative of the head","Niece","Yes"
"36-88-00-01","Namibia","Zambezi","Kabbe South","Kasika","300016054210","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"63-25-21-02","Namibia","Zambezi","Kabbe South","Impalila South","300016043713","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"08-07-30-74","Namibia","Zambezi","Sibbinda","Bito","300013032112","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-39-69-08","Namibia","Zambezi","Kabbe South","Impalila North","300016043603","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"97-46-11-48","Namibia","Zambezi","Sibbinda","Makolanga","300013032613","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"12-85-99-43","Namibia","Zambezi","Linyanti","Sitanta","300017054401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"55-14-49-61","Namibia","Zambezi","Kabbe South","Impalila North","300016043601","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-26-98-86","Namibia","Zambezi","Kabbe South","Impalila South","300016043712","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"32-96-01-37","Namibia","Zambezi","Linyanti","Sitanta","300017054404","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"41-92-38-71","Namibia","Zambezi","Linyanti","Sitanta","300017054413","No","Yes","Refused","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
