interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"26-38-66-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"46-68-27-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"78-16-14-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"01-32-09-43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-29-18-58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"53-42-47-52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"01-17-72-49","No","Yes","Yes","No","No","No",,30,510,8,"Communally owned",7,"No",,-888,"No","Yes","Yes","No","No","No",-888,"Yes","No",,"No","No","No","No","No","No","No","No","No","",,"No",,"No","No","No","No","Yes","No","No","No","No",""
"40-86-48-02","No","Yes","No","No","No","No",,10,480,8,"Communally owned",10,"No",,12,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"67-11-34-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"47-85-49-06","No","Yes","No","No","No","No",,15,600,10,"Private owned with land title",15,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"68-03-09-51","No","Yes","No","No","No","No",,10,330,7,"Communally owned",15,"No",,10,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","Yes","No","No","No","No","No",""
"14-68-63-82","No","No","Yes","No","No","No",,25,600,10,"Communally owned",20,"No",,48,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
