interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"58-00-80-50",,,,,,,,
"16-58-48-79",800,0,0,0,2000,0,0,0
"05-01-86-08",70,0,0,0,500,0,0,0
"89-75-04-06",,,,,,,,
"52-25-69-44",6900,0,0,16500,1500,0,1000,0
"71-97-04-61",,,,,,,,
"46-80-42-17",,,,,,,,
"58-78-23-20",,,,,,,,
"35-69-94-08",0,0,0,0,3000,0,0,0
"10-25-31-32",,,,,,,,
"38-79-29-34",,,,,,,,
"89-83-56-79",,,,,,,,
"50-21-50-41",0,0,0,0,0,0,0,0
"44-19-49-55",,,,,,,,
"55-68-88-94",300,0,0,0,0,0,0,0
"59-93-51-03",,,,,,,,
"07-70-44-38",0,0,0,0,0,0,-88,-88
"59-31-16-60",1000,0,0,5000,1400,0,0,0
"84-43-04-55",0,0,0,0,0,0,0,0
"90-23-91-34",0,0,0,0,0,0,0,0
"00-25-69-00",0,0,0,0,400,0,0,0
"43-06-63-67",,,,,,,,
"28-10-90-34",,,,,,,,
"13-06-00-33",80,0,200,0,0,0,100,200
"93-88-34-77",,,,,,,,
"77-13-46-95",1200,0,0,0,0,0,0,0
"54-15-29-03",,,,,,,,
"58-43-21-07",800,0,0,0,0,0,0,0
"54-82-42-61",0,0,0,0,1000,0,0,0
"31-76-77-10",,,,,,,,
"75-33-12-39",,,,,,,,
"47-33-25-93",230,0,0,0,200,0,0,0
"35-34-76-48",1500,0,0,0,0,0,0,0
"26-98-60-20",,,,,,,,
"20-88-32-55",,,,,,,,
"73-42-30-97",0,0,0,0,0,0,0,0
"38-84-78-59",800,0,0,0,1700,0,0,0
"70-09-32-42",,,,,,,,
"76-04-07-19",,,,,,,,
"70-32-51-26",,,,,,,,
"56-61-77-64",0,0,0,0,0,0,0,0
"50-82-91-34",600,0,0,0,0,0,0,0
"83-60-63-11",0,0,0,0,1800,0,100,0
"80-51-82-08",20,200,0,0,0,0,0,0
"49-80-85-60",0,0,0,0,500,0,0,0
"81-64-86-08",60,0,0,0,0,0,0,0
"33-82-62-40",2950,0,0,0,4900,0,0,0
"56-48-48-33",0,0,0,0,0,0,0,0
"19-43-49-26",1500,0,0,0,2500,0,300,0
"52-63-91-75",0,0,0,0,0,0,0,0
"60-93-32-66",,,,,,,,
"37-44-93-64",130,0,0,0,400,0,0,0
"83-19-87-02",,,,,,,,
"83-26-13-29",,,,,,,,
"02-40-91-04",0,0,0,0,0,0,0,0
"31-74-57-88",,,,,,,,
"09-16-66-27",,,,,,,,
"02-99-67-45",,,,,,,,
"18-26-92-76",800,0,800,0,0,0,0,0
"54-98-92-77",,,,,,,,
"94-90-21-30",0,0,0,0,5000,0,0,0
"34-25-16-71",,,,,,,,
"26-18-25-14",,,,,,,,
"62-93-86-46",500,0,0,0,2200,0,0,0
"85-20-92-08",0,0,0,0,200,0,0,0
"65-60-16-01",,,,,,,,
"83-41-72-29",0,0,0,0,0,0,0,0
"21-46-08-35",500,0,0,0,0,0,0,0
"37-32-34-84",1000,0,0,0,0,0,0,0
"13-52-22-69",0,0,0,0,1000,0,0,0
"39-17-92-41",0,0,0,0,3600,0,480,0
"33-45-72-89",,,,,,,,
"31-31-05-64",,,,,,,,
"86-99-45-42",0,0,0,0,800,0,0,0
"56-98-53-98",1500,0,0,0,0,0,3000,5000
"56-36-96-19",,,,,,,,
"50-58-13-59",,,,,,,,
"96-16-19-85",500,0,0,0,1000,0,600,0
"64-96-31-31",250,0,0,0,4000,0,0,0
"12-39-25-67",,,,,,,,
"94-38-82-64",,,,,,,,
"32-40-73-26",400,0,0,0,800,0,0,0
"27-85-21-15",,,,,,,,
"31-68-89-01",,,,,,,,
"72-31-90-61",,,,,,,,
"80-54-37-07",,,,,,,,
"36-19-32-95",1000,0,0,1800,400,0,0,0
"75-71-40-40",0,0,0,0,1600,0,0,0
"37-54-02-07",,,,,,,,
"60-74-79-59",600,0,0,0,600,0,0,0
"96-89-11-69",0,0,0,0,2100,0,0,0
"44-81-28-86",150,0,0,0,0,0,0,0
"33-26-68-81",280,0,0,0,0,0,0,0
"12-27-31-91",300,0,0,0,400,0,0,0
"44-39-19-46",,,,,,,,
"19-73-20-43",3000,0,0,0,1900,0,60,800
"86-42-35-25",400,0,0,0,1000,0,60,200
"21-53-70-02",0,0,0,0,2000,0,0,0
"36-25-22-73",0,0,0,0,0,0,0,0
"61-61-32-11",100,0,0,0,0,0,0,0
"57-36-34-63",280,0,0,0,0,0,0,0
"53-72-73-00",,,,,,,,
"33-70-72-42",,,,,,,,
"52-18-64-85",250,0,0,0,0,0,0,0
"42-07-25-32",5000,0,0,0,3000,0,0,0
"39-53-01-83",720,0,0,0,0,0,0,0
"33-51-31-80",0,0,0,0,0,0,0,0
"94-39-43-68",50,0,0,0,0,0,0,0
"03-54-18-25",0,0,0,0,1000,0,0,0
