interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"26-16-97-29",4,12,,"","Male","Child/Adopted Child",4,,,"",,"",,"No","Other","Still Young",,"","","",,,
"26-16-97-29",5,12,,"","Male","Child/Adopted Child",3,,,"",,"",,"No","Other","Still Young",,"","","",,,
"26-16-97-29",6,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","Still Young",,"","","",,,
"94-40-34-45",1,12,,"","Female","Self/Head",74,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"94-40-34-45",2,12,,"","Female","Grandchild",4,,,"",,"",,"No","Other","Still Young",,"","","",,,
"94-40-34-45",3,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","Still Young",,"","","",,,
"94-40-34-45",4,12,,"","Female","Grandchild",9,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"94-40-34-45",5,12,,"","Male","Grandchild",13,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"94-40-34-45",6,12,,"","Female","Grandchild",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"94-40-34-45",7,12,,"","Female","Grandchild",15,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"57-09-13-31",1,12,,"","Female","Self/Head",40,"Divorced /Separated","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Poor academic progress","",,"","","","Yes","Yes","No"
"57-09-13-31",2,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"57-09-13-31",3,12,,"","Male","Child/Adopted Child",2,,,"",,"",,"No","Other","He is still a toddler",,"","","",,,
"06-81-92-15",1,12,,"","Female","Self/Head",47,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Further schooling not available","",,"","","","No",,
"71-51-46-91",1,12,,"","Female","Self/Head",83,"Widow/ Widower","Other, Specify","yeyi","Other➡️ Please specify","seventh day Adventist church","No formal education","No","Too far away","",,"","","","No",,
"71-51-46-91",2,12,,"","Female","Grandchild",15,"Never Married","Other, Specify","yeyi","Other➡️ Please specify","seventh day Adventist church","Primary 7","Yes",,"",,"","","","No",,
"71-51-46-91",3,12,,"","Male","Grandchild",16,"Never Married","Other, Specify","yeyi","Other➡️ Please specify","seventh day Adventist church","Primary 7","Yes",,"",,"","","","No",,
"71-51-46-91",4,12,,"","Male","Grandchild",12,"Never Married","Other, Specify","yeyi","Other➡️ Please specify","seventh day Adventist church","Primary 5","Yes",,"",,"","","","No",,
"71-51-46-91",5,12,,"","Female","Grandchild",18,"Never Married","Other, Specify","yeyi","Other➡️ Please specify","seventh day Adventist church","Secondary school Year 3","Yes",,"",,"","","","No",,
"99-70-86-40",1,12,,"","Female","Wife/Husband",55,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Too expensive","",,"","","","No",,
"99-70-86-40",2,12,,"","Male","Self/Head",63,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Too far away","",,"","","","No",,
"99-70-86-40",3,12,,"","Female","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"99-70-86-40",4,12,,"","Female","Sister/Brother",70,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"54-72-28-02",1,12,,"","Male","Self/Head",50,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","No","Yes"
"54-72-28-02",2,12,,"","Female","Wife/Husband",47,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","No","Yes"
"54-72-28-02",3,12,,"","Female","Child/Adopted Child",29,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","Yes",,"",,"","","","No",,
"54-72-28-02",4,12,,"","Male","Child/Adopted Child",23,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","Yes",,"",,"","","","No",,
"54-72-28-02",5,12,,"","Female","Child/Adopted Child",18,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"54-72-28-02",6,12,,"","Male","Child/Adopted Child",11,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"54-72-28-02",7,12,,"","Female","Grandchild",2,,,"",,"",,"No","Other","still young",,"","","",,,
"93-06-95-85",1,12,,"","Female","Self/Head",73,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","Yes","No","Yes"
"93-06-95-85",2,12,,"","Female","Grandchild",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"93-06-95-85",3,12,,"","Male","Grandchild",16,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"93-06-95-85",4,12,,"","Male","Grandchild",13,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"44-70-83-36",1,12,,"","Male","Self/Head",94,"Widow/ Widower","Other, Specify","yeyi","Non-religious","","Primary 3","No","Had to help with family","",,"","","","No",,
"44-70-83-36",2,12,,"","Male","Child/Adopted Child",58,"Divorced /Separated","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Not willing to attend further","",,"","","","No",,
"76-32-33-95",1,12,,"","Female","Self/Head",28,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Too expensive","",,"","","","Yes","Yes","Yes"
"76-32-33-95",2,12,,"","Female","Grandchild",14,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","Yes","No","Yes"
"76-32-33-95",3,12,,"","Male","Grandchild",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"76-32-33-95",4,12,,"","Male","Grandchild",1,,,"",,"",,"No","Other","minor",,"","","",,,
"76-32-33-95",5,12,,"","Male","Child/Adopted Child",4,,,"",,"",,"No","Too far away","",,"","","",,,
"76-32-33-95",6,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"01-38-25-96",1,12,,"","Female","Self/Head",67,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","No","Had to help at home","",,"","","","No",,
"01-38-25-96",2,12,,"","Female","Child/Adopted Child",25,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"University of Namibia","2016","Diploma in Pre-primary","No",,
"01-38-25-96",3,12,,"","Male","Grandchild",7,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"01-38-25-96",4,12,,"","Male","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"01-38-25-96",5,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","still young",,"","","",,,
"01-38-25-96",6,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","still young",,"","","",,,
"89-39-79-72",1,12,,"","Female","Self/Head",45,"Married monogamously","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Primary 1","No","Had to help with family","",,"","","","Yes","No","Yes"
"89-39-79-72",2,12,,"","Male","Wife/Husband",44,"Married monogamously","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with farm work","",,"","","","No",,
"89-39-79-72",3,12,,"","Male","Child/Adopted Child",26,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"89-39-79-72",4,12,,"","Female","Child/Adopted Child",20,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"89-39-79-72",5,12,,"","Female","Child/Adopted Child",19,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"89-39-79-72",6,12,,"","Female","Child/Adopted Child",16,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"89-39-79-72",7,12,,"","Male","Child/Adopted Child",14,"Never Married","Other, Specify","mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"00-49-63-51",1,12,,"","Female","Self/Head",66,"Divorced /Separated","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 2","No","Sickness or calamity in family","",,"","","","No",,
"00-49-63-51",2,12,,"","Female","Child/Adopted Child",26,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"00-49-63-51",3,12,,"","Female","Grandchild",9,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"00-49-63-51",4,12,,"","Female","Grandchild",11,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"00-49-63-51",5,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","He is still a kid",,"","","",,,
"00-49-63-51",6,12,,"","Male","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"00-49-63-51",7,12,,"","Female","Grandchild",3,,,"",,"",,"No","Other","still a kid",,"","","",,,
"76-58-89-37",1,12,,"","Male","Self/Head",54,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"76-58-89-37",2,12,,"","Female","Wife/Husband",49,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Too expensive","",,"","","","No",,
"76-58-89-37",3,12,,"","Male","Child/Adopted Child",23,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"76-58-89-37",4,12,,"","Female","Child/Adopted Child",18,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"76-58-89-37",5,12,,"","Female","Grandchild",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"76-58-89-37",6,12,,"","Male","Grandchild",14,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"76-58-89-37",7,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","still young",,"","","",,,
"76-58-89-37",8,8,"New arrivals - New born","","Female","Grandchild",8,,,"",,"","No formal education","No","Other","still young",,"","","",,,
"20-56-52-98",1,12,,"","Male","Self/Head",51,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"20-56-52-98",2,12,,"","Female","Wife/Husband",44,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"20-56-52-98",3,12,,"","Male","Child/Adopted Child",25,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"20-56-52-98",4,12,,"","Male","Child/Adopted Child",21,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"20-56-52-98",5,12,,"","Male","Child/Adopted Child",17,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"20-56-52-98",6,12,,"","Male","Child/Adopted Child",11,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","Yes",,"",,"","","","No",,
"64-47-42-17",1,12,,"","Female","Child/Adopted Child",82,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 3","No","Had to help with family","",,"","","","No",,
"64-47-42-17",2,12,,"","Male","Self/Head",89,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Had to help with family","",,"","","","No",,
"64-47-42-17",3,12,,"","Male","Child/Adopted Child",29,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"64-47-42-17",4,12,,"","Female","Child/Adopted Child",35,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"64-47-42-17",5,12,,"","Female","Grandchild",9,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"64-47-42-17",6,12,,"","Male","Grandchild",5,,,"",,"","No formal education","No","Other","Too young",,"","","",,,
"64-47-42-17",7,12,,"","Male","Grandchild",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"64-47-42-17",8,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","Too young",,"","","",,,
"13-81-47-95",1,12,,"","Female","Self/Head",49,"Divorced /Separated","Other, Specify","shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","No",,
"13-81-47-95",2,6,"New arrivals - Education","","Female","Child/Adopted Child",30,"Never Married","Other, Specify","Shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","Yes",,"",,"","","","No",,
"13-81-47-95",3,12,,"","Female","Child/Adopted Child",25,"Never Married","Other, Specify","Shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Further schooling not available","",,"","","","No",,
"13-81-47-95",4,12,,"","Male","Child/Adopted Child",17,"Never Married","Other, Specify","Shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"13-81-47-95",5,12,,"","Female","Child/Adopted Child",14,"Never Married","Other, Specify","Shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","Yes",,"",,"","","","No",,
"13-81-47-95",6,12,,"","Male","Sister/Brother",44,"Never Married","Other, Specify","Shiyeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"13-81-47-95",7,12,,"","Female","Grandchild",5,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",1500,"","","",,,
"13-81-47-95",8,12,,"","Male","Grandchild",4,,,"",,"",,"No","Other","Still Young",,"","","",,,
"29-99-72-08",1,12,,"","Female","Self/Head",66,"Widow/ Widower","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Not willing to attend further","",,"","","","No",,
"29-99-72-08",2,12,,"","Male","Child/Adopted Child",35,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"29-99-72-08",3,12,,"","Male","Sister/Brother",55,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"24-83-83-50",1,12,,"","Female","Self/Head",74,"Widow/ Widower","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too far away","",,"","","","No",,
"24-83-83-50",2,12,,"","Male","Grandchild",23,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","No",,
"24-83-83-50",3,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"24-83-83-50",4,12,,"","Male","Child/Adopted Child",11,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 5","Yes",,"",,"","","","No",,
"24-83-83-50",5,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"24-83-83-50",6,12,,"","Male","Child/Adopted Child",12,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","No",,
"47-22-90-00",1,12,,"","Male","Self/Head",76,"Married monogamously","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Parents did not want","",,"","","","No",,
"47-22-90-00",2,12,,"","Female","Child/Adopted Child",35,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 1","No","Poor academic progress","",,"","","","No",,
"47-22-90-00",3,12,,"","Male","Grandchild",4,,,"",,"",,"No","Other","Too young",,"","","",,,
"47-22-90-00",4,12,,"","Male","Grandchild",1,,,"",,"",,"No","Other","Too young",,"","","",,,
"47-22-90-00",5,12,,"","Female","Grandchild",17,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Other","She is deaf.",,"","","","No",,
"47-22-90-00",6,12,,"","Female","Grandchild",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"47-22-90-00",7,12,,"","Female","Wife/Husband",66,"Married monogamously","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"98-86-29-38",1,12,,"","Male","Self/Head",76,"Married monogamously","Other, Specify","Yeyi","Non-religious","","Primary 6","No","Sickness or calamity in family","",,"","","","No",,
"98-86-29-38",2,12,,"","Female","Wife/Husband",65,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Primary 4","No","Too expensive","",,"","","","No",,
"38-47-12-60",1,12,,"","Male","Self/Head",40,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 3","Yes",,"",,"","","","Yes","No","Yes"
"38-47-12-60",2,12,,"","Female","Wife/Husband",54,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","No",,
"38-47-12-60",3,12,,"","Female","Grandchild",34,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Sickness or calamity in family","",,"","","","Yes","No","Yes"
"38-47-12-60",4,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 2","Yes",,"",,"","","",,,
"38-47-12-60",5,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"38-47-12-60",6,12,,"","Male","Child/Adopted Child",9,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"38-47-12-60",7,12,,"","Female","Child/Adopted Child",14,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","Yes",,"",,"","","","Yes","No","Yes"
"38-47-12-60",8,12,,"","Male","Child/Adopted Child",10,,,"",,"","Primary 6","Yes",,"",,"","","",,,
"38-47-12-60",9,12,,"","Female","Grandchild",30,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"university of Namibia","2023","education","Yes","No","Yes"
"28-88-27-77",1,12,,"","Female","Self/Head",60,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 3","Yes",,"",,"","","","Yes","No","Yes"
"28-88-27-77",2,12,,"","Male","Grandchild",2,,,"",,"",,"No","Too far away","",,"","","",,,
"28-88-27-77",3,12,,"","Male","Grandchild",2,,,"",,"",,"No","Too far away","",,"","","",,,
"29-11-74-01",1,12,,"","Male","Self/Head",41,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","Yes","Yes","No"
"29-11-74-01",2,12,,"","Female","Wife/Husband",36,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"29-11-74-01",3,12,,"","Female","Child/Adopted Child",19,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","Yes",,"",,"","","","No",,
"29-11-74-01",4,12,,"","Female","Child/Adopted Child",14,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"29-11-74-01",5,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","still young",,"","","",,,
"23-17-08-61",1,12,,"","Male","Self/Head",38,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Sickness or calamity in family","",,"","","","Yes","Yes","No"
"23-17-08-61",2,12,,"","Female","Wife/Husband",30,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Too expensive","",,"","","","No",,
"23-17-08-61",3,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"No","Other","still young",,"","","",,,
"23-17-08-61",4,12,,"","Male","Child/Adopted Child",8,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"23-17-08-61",5,12,,"","Female","Brother/Sister-In-Law",17,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","Yes",,"",,"","","","No",,
"23-17-08-61",6,12,,"","Female","Sister/Brother",20,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"09-04-42-43",1,12,,"","Male","Self/Head",67,"Widow/ Widower","Subia","","Catholic","","Secondary school Year 2","No","Too expensive","",,"","","","Yes","No","Yes"
"60-44-87-63",1,12,,"","Male","Self/Head",53,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Other","lack of support",,"","","","Yes","No","Yes"
"60-44-87-63",2,12,,"","Female","Wife/Husband",40,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Other","The parents passed away so she lacked school support",,"","","","Yes","No","Yes"
"60-44-87-63",3,12,,"","Male","Child/Adopted Child",30,"Never Married","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Not willing to attend further","",,"","","","No",,
"60-44-87-63",4,12,,"","Female","Child/Adopted Child",7,,,"",,"","Primary 3","Yes",,"",,"","","",,,
"60-44-87-63",5,12,,"","Female","Grandchild",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"37-91-11-53",1,12,,"","Female","Wife/Husband",55,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Too expensive","",,"","","","No",,
"37-91-11-53",2,12,,"","Male","Self/Head",48,"Married monogamously","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help at home","",,"","","","Yes","Yes","No"
"37-91-11-53",3,12,,"","Male","Child/Adopted Child",16,"Never Married","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","Yes",,"",,"","","","No",,
"24-83-18-16",1,12,,"","Male","Self/Head",45,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Post secondary tertiary college","No","Poor academic progress","",,"","","","Yes","No","Yes"
"24-83-18-16",2,12,,"","Female","Wife/Husband",38,"Married monogamously","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Pregnancy","",,"","","","Yes","Yes","Yes"
"24-83-18-16",3,12,,"","Male","Child/Adopted Child",7,,,"",,"","Primary 1","Yes",,"",,"","","",,,
"24-83-18-16",4,12,,"","Female","Child/Adopted Child",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"43-94-30-73",1,12,,"","Male","Self/Head",85,"Married monogamously","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"43-94-30-73",2,12,,"","Female","Wife/Husband",79,"Married monogamously","Other, Specify","yeyi","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too far away","",,"","","","No",,
"98-89-20-76",1,12,,"","Male","Self/Head",75,"Married monogamously","Subia","","Catholic","","Primary 6","No","Too far away","",,"","","","No",,
"98-89-20-76",2,12,,"","Female","Wife/Husband",72,"Married monogamously","Subia","","Catholic","","Primary 6","No","Too far away","",,"","","","No",,
"18-82-94-56",1,12,,"","Female","Self/Head",58,"Widow/ Widower","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Too expensive","",,"","","","No",,
"18-82-94-56",2,12,,"","Female","Child/Adopted Child",15,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"18-82-94-56",3,6,"Members that left - Other economic reasons","","Male","Child/Adopted Child",26,"Never Married","Other, Specify","Yeyi","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","No",,
"15-08-96-97",1,12,,"","Female","Self/Head",57,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with farm work","",,"","","","No",,
"15-08-96-97",2,12,,"","Male","Wife/Husband",56,"Married monogamously","Mafwe","","Non-religious","","Secondary school Year 4","No","Parents did not want","",,"","","","Yes","No","Yes"
"15-08-96-97",3,12,,"","Male","Child/Adopted Child",21,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","Yes",,"",,"","","","No",,
"15-08-96-97",4,12,,"","Male","Child/Adopted Child",16,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","Yes",,"",,"","","","No",,
"15-08-96-97",5,12,,"","Female","Grandchild",19,"Never Married","Mafwe","","Catholic","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"15-08-96-97",6,12,,"","Male","Grandchild",3,,,"",,"",,"No","Other","too young",,"","","",,,
"15-08-96-97",7,12,,"","Male","Son/Daughter-In-Law",30,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 3","No","Poor academic progress","",,"","","","No",,
"15-08-96-97",8,12,,"","Male","Grandchild",2,,,"",,"",,"No","Other","too young",,"","","",,,
"59-27-01-58",1,12,,"","Male","Self/Head",50,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Sickness or calamity in family","",,"","","","No",,
"59-27-01-58",2,12,,"","Female","Wife/Husband",47,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 8","No","Too expensive","",,"","","","No",,
"59-27-01-58",3,12,,"","Female","Child/Adopted Child",10,,,"",,"","Primary 4","Yes",,"",,"","","",,,
"59-27-01-58",4,12,,"","Female","Child/Adopted Child",4,,,"",,"",,"Yes",,"",400,"","","",,,
"59-27-01-58",5,12,,"","Male","Child/Adopted Child",1,,,"",,"",,"No","Other","Still Young",,"","","",,,
"06-40-81-20",1,12,,"","Female","Self/Head",27,"Married monogamously","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 7","No","Had to help with family","",,"","","","No",,
