interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"85-15-56-74",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"99-52-45-97",30,30,"Urban market (town) in this region","","Yes","TOMATO","No",,,,,,,,,,,
"22-42-05-31",10,10,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"17-88-76-49",,,,"",,"",,,,,,,,,,,,
"95-93-26-61",44,44,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"66-25-20-13",45,45,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","No","Yes","No","No","No","No",
"56-49-46-49",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"00-63-35-41",,,,"",,"",,,,,,,,,,,,
"35-73-88-21",,,,"",,"",,,,,,,,,,,,
"90-22-40-74",,,,"",,"",,,,,,,,,,,,
"71-58-33-81",,,,"",,"",,,,,,,,,,,,
"85-67-71-58",33,33,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"01-61-71-69",25,25,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"75-50-19-75",32,32,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"89-26-96-48",45,1,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"73-20-13-57",,,,"",,"",,,,,,,,,,,,
"55-53-09-17",,,,"",,"",,,,,,,,,,,,
"16-20-70-88",7,8,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"14-74-46-71",,,,"",,"",,,,,,,,,,,,
"15-43-32-03",80,80,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"62-79-94-11",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"74-11-35-62",45,45,"Market in this village","","No","","No",,,,,,,,,,,
"07-05-49-00",75,75,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"12-21-07-33",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"23-59-76-04",,,,"",,"",,,,,,,,,,,,
"93-87-90-66",15,15,"Others ➡️ Specify","They do not sell","No","","No",,,,,,,,,,,
"16-34-09-13",1,27,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"85-82-50-77",45,45,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"89-27-41-66",2,2,"Others ➡️ Specify","They do not sell","No","","No",,,,,,,,,,,
"22-81-16-32",30,30,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-44-06-88",,,,"",,"",,,,,,,,,,,,
"47-49-80-52",,,,"",,"",,,,,,,,,,,,
"93-73-35-44",35,35,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"08-77-46-38",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"85-57-73-17",,,,"",,"",,,,,,,,,,,,
"48-05-99-35",,,,"",,"",,,,,,,,,,,,
"67-13-56-73",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"97-33-85-90",62,62,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"10-54-97-94",48,48,"Others ➡️ Specify","They have never sold their crops","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"50-35-50-04",45,45,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"62-96-39-45",,,,"",,"",,,,,,,,,,,,
"44-55-26-98",,,,"",,"",,,,,,,,,,,,
"93-47-96-78",,,,"",,"",,,,,,,,,,,,
"18-43-28-32",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"37-21-15-22",,,,"",,"",,,,,,,,,,,,
"87-15-89-67",,,,"",,"",,,,,,,,,,,,
"79-26-09-22",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"75-05-90-14",,,,"",,"",,,,,,,,,,,,
"24-85-21-24",,,,"",,"",,,,,,,,,,,,
"91-48-78-65",,,,"",,"",,,,,,,,,,,,
"32-52-77-66",30,30,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"26-89-84-58",,,,"",,"",,,,,,,,,,,,
"59-38-71-66",25,25,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"02-07-52-84",,,,"",,"",,,,,,,,,,,,
"77-80-39-86",,,,"",,"",,,,,,,,,,,,
"72-51-39-42",,,,"",,"",,,,,,,,,,,,
"87-64-80-93",110,110,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"36-99-07-56",,,,"",,"",,,,,,,,,,,,
"75-89-92-79",,,,"",,"",,,,,,,,,,,,
"44-34-32-32",44,44,"Others ➡️ Specify","she doesn't sell","No","","No",,,,,,,,,,,
"53-52-93-15",,,,"",,"",,,,,,,,,,,,
"58-35-74-86",20,20,"Others ➡️ Specify","never harvested and sold","No","","No",,,,,,,,,,,
"23-82-30-50",20,10,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"76-76-95-07",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"69-18-54-45",,,,"",,"",,,,,,,,,,,,
"99-14-10-16",,,,"",,"",,,,,,,,,,,,
"55-02-31-58",20,20,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"55-65-32-92",54,54,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"66-00-67-40",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"41-51-06-54",,,,"",,"",,,,,,,,,,,,
"07-18-54-62",,,,"",,"",,,,,,,,,,,,
