interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"77-00-14-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-98-94-60","Yes","Yes",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No",,150,,,,,,,,,,
"50-51-12-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-72-98-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-20-22-18","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,260,,,,,,,,,,
"12-87-62-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-24-60-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-93-85-84","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,200,,,,,,,,,,
"25-08-98-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-54-30-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-66-62-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-52-59-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-01-52-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-91-87-71","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,100,,,,,,,,,,
"86-58-98-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-53-78-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-70-10-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-51-64-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-04-27-87","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,130,,,,,,,,,,
"26-67-17-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-55-61-25","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",,65,,,,,,,,,,
"70-21-00-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-96-00-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
