interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"73-70-79-76","Agree","Agree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","indifferent","indifferent","indifferent","indifferent","indifferent","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Slightly worried","Very worried"
"40-83-72-17","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","indifferent","strongly trust","indifferent","indifferent","strongly distrust","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"23-74-18-51","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"18-88-43-52","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Disagree","Disagree","trust","indifferent","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Very worried","Very worried","Worried","Very worried"
"72-37-85-07","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Worried","Worried"
"84-90-52-18","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Disagree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","trust","strongly trust","trust","strongly trust","indifferent","Very worried","Extremely worried","Extremely worried","Worried","Slightly worried","Very worried","Very worried","Worried","Very worried","Slightly worried"
"94-23-16-05","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","trust","indifferent","distrust","indifferent","distrust","Extremely worried","Very worried","Worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Worried","Very worried","Very worried"
"52-32-19-59","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","strongly distrust","trust","distrust","trust","distrust","Extremely worried","Very worried","Slightly worried","Very worried","Very worried","Very worried","Very worried","Slightly worried","Very worried","Very worried"
"99-83-95-63","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","trust","trust","trust","Extremely worried","Very worried","Extremely worried","Very worried","Worried","Worried","Worried","Very worried","Very worried","Very worried"
"46-29-66-50","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","strongly distrust","indifferent","indifferent","Worried","Very worried","Very worried","Very worried","Worried","Very worried","Very worried","Worried","Worried","Worried"
