interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"99-52-45-97","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",30,600,"No"
"22-42-05-31","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,3000,"No"
"17-88-76-49",,,,,,,,,,,,"",,,,
"95-93-26-61",,,,,,,,,,,,"",,,,
"66-25-20-13","No",,,,,,,,,,,"",,1,,"No"
"56-49-46-49",,,,,,,,,,,,"",,,,
"00-63-35-41","No",,,,,,,,,,,"",,18,,"No"
"35-73-88-21",,,,,,,,,,,,"",,,,
"90-22-40-74","No",,,,,,,,,,,"",,50,,"No"
"71-58-33-81",,,,,,,,,,,,"",,,,
"85-67-71-58",,,,,,,,,,,,"",,,,
"01-61-71-69","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.1,4800,"No"
"75-50-19-75",,,,,,,,,,,,"",,,,
"89-26-96-48",,,,,,,,,,,,"",,,,
"73-20-13-57","No",,,,,,,,,,,"",,1,,"No"
"55-53-09-17",,,,,,,,,,,,"",,,,
"16-20-70-88",,,,,,,,,,,,"",,,,
"14-74-46-71","No",,,,,,,,,,,"",,80,,"No"
"15-43-32-03",,,,,,,,,,,,"",,,,
"62-79-94-11",,,,,,,,,,,,"",,,,
"74-11-35-62","No",,,,,,,,,,,"",,45,,"No"
"07-05-49-00",,,,,,,,,,,,"",,,,
"12-21-07-33","Yes","Yes","No","No","No","No","No","No","No",,"Other➡️ Please specify","People within the village","Market in this village",1,3000,"No"
"23-59-76-04",,,,,,,,,,,,"",,,,
"93-87-90-66",,,,,,,,,,,,"",,,,
"16-34-09-13",,,,,,,,,,,,"",,,,
"85-82-50-77",,,,,,,,,,,,"",,,,
"89-27-41-66","No",,,,,,,,,,,"",,1,,"No"
"22-81-16-32","No",,,,,,,,,,,"",,30,,"No"
"54-44-06-88",,,,,,,,,,,,"",,,,
"47-49-80-52","No",,,,,,,,,,,"",,1,,"No"
"93-73-35-44",,,,,,,,,,,,"",,,,
"08-77-46-38","No",,,,,,,,,,,"",,15,,"No"
"85-57-73-17","No",,,,,,,,,,,"",,2,,"No"
"48-05-99-35",,,,,,,,,,,,"",,,,
"67-13-56-73","No",,,,,,,,,,,"",,1,,"No"
"97-33-85-90","No",,,,,,,,,,,"",,.5,,"No"
