interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"25-74-03-84",4.26,16.52,.9399999999999999,8.907999999999999,.57,.28,6.93,2.78,16.43,4.83,1.004721689059501,40.86349999999995,.85,5.55,3.82,114.5362216890594,"00.01:35:55",95.91666666666667,"2023-05-29","09:18:16"
"98-23-98-25",4.82,25.65199999999999,1.57,8.907999999999999,4.647519083969466,3.155511363636363,6.359096153846154,2.09,23.84,4.63,1.66,16.70479768786127,1.506819923371647,3.82007662835249,2.82,112.1838208410374,"00.02:48:03",168.05,"2023-06-14","12:30:03"
"01-01-07-49",2.25,8.07,.77,8.907999999999999,4.647519083969466,2.81,4.55,1.73,15.2955,5.51,1.33,6.814,1.506819923371647,3.9,2.74,70.83183900734112,"00.00:58:21",58.35,"2023-05-29","10:46:20"
"05-21-83-90",2.35,25.65199999999999,.95,8.907999999999999,4.89,8.25,6.359096153846154,3.22,16.08,6.93,1.004721689059501,16.70479768786127,1.506819923371647,3.82007662835249,3.806928982725528,110.4324410652166,"00.02:21:47",141.7833333333333,"2023-06-10","07:58:39"
"77-16-48-10",1.38,14.54561538461538,.5,4.99,.96,4.99,4.81,3.138138195777351,24.02,8.279999999999999,1.004721689059501,16.05,1.506819923371647,3.82007662835249,3.54,93.53537182117637,"00.01:39:09",99.15000000000001,"2023-05-29","12:53:54"
"75-23-18-05",3.01767754318618,6.791,.9,4.68,4.647519083969466,6.42,7.19,1.7,15.2955,5.91683908045977,.75,16.70479768786127,.88,2.57,5.32,82.78333339547669,"00.01:21:19",81.31666666666666,"2023-05-29","10:21:15"
"83-84-60-99",3.46,8.5,.48,5.05,1.28,.11,6.73,3.13,15.63,3.81,.9399999999999999,24.7,1.11,3.82007662835249,6.2,84.95007662835249,"00.02:04:41",124.6833333333333,"2023-05-31","10:20:10"
"56-18-51-85",2.29,14.54561538461538,.68,11.74,4.647519083969466,9.19,6.359096153846154,5.416999999999996,21.28,7.32,1.17,10.73,1.56,3.82007662835249,2.62,103.3693072507835,"00.02:10:32",130.5333333333333,"2023-05-29","10:31:52"
"26-38-66-11",2.99,14.54561538461538,.48,8.907999999999999,.65,.08,4.8,2.07,19.34,6.57,1.11,8.57,1.16,5.11,2.56,78.94361538461538,"00.01:07:28",67.46666666666667,"2023-05-29","13:16:39"
"46-68-27-34",2.22,13.37,1.122230769230769,3.89,3.95,3.1,6.36,3.138138195777351,15.2955,5.91683908045977,1.004721689059501,16.70479768786127,1.506819923371647,3.82007662835249,2.68,84.0791239741128,"00.01:53:57",113.95,"2023-06-16","08:32:23"
"78-16-14-09",1.85,25.65199999999999,.67,13.88,4.647519083969466,1.71,6.81,2.09,24.99,7.11,.8100000000000001,6.814,.95,4.63,2.7,105.3135190839695,"00.02:15:00",135,"2023-05-29","09:19:27"
"01-32-09-43",3.16,7.36,1.122230769230769,8.93,5.47,3.155511363636363,4.22,3.138138195777351,24.0425,5.91683908045977,.7,16.70479768786127,.85,3.82007662835249,6.45,95.04009372531802,"00.01:15:29",75.48333333333333,"2023-06-16","12:34:28"
"11-29-18-58",2.52,11.84,1.122230769230769,4.94,4.647519083969466,3.155511363636363,5.03,3.138138195777351,24.0425,4.59,1.49,16.70479768786127,1.506819923371647,1.91,2.32,88.95751702384688,"00.01:21:52",81.86666666666666,"2023-06-17","11:29:22"
"53-42-47-52",6.24,17.44,.68,15.65,.45,5.81,6.35,5.16,21.52,8.300000000000001,1.004721689059501,8.539999999999999,1.506819923371647,5.66,2.69,107.0015416124312,"00.01:40:47",100.7833333333333,"2023-05-29","11:04:50"
"01-17-72-49",2.13,9.56,1.35,5.67,7.61,6.58,4.08,3.138138195777351,29.24,4.69,.76,15.19,.95,2.89,3.46,97.29813819577736,"00.02:02:45",122.75,"2023-05-29","10:39:38"
"40-86-48-02",5.83,12.81,.65,6.75,6.35,6.32,7.71,3.138138195777351,17.99,4.87,1.1,15.21,1.506819923371647,3.82007662835249,2.28,96.3350347475015,"00.02:15:37",135.6166666666667,"2023-05-29","12:15:34"
"67-11-34-32",1.38,14.54561538461538,1.31,8.907999999999999,4.647519083969466,3.155511363636363,4.69,4.1,24.71,5.91683908045977,1.01,16.70479768786127,1.68,6.283499999999997,4.68,103.7217826005423,"00.02:48:52",168.8666666666667,"2023-05-29","07:45:09"
"47-85-49-06",6.513499999999998,21.32,1.33,3.98,4.647519083969466,8.550000000000001,7.13,1.83,18.54,4.94,1.21,16.19,1.33,2.22,3.25,102.9810190839695,"00.01:48:16",108.2666666666667,"2023-05-29","08:34:44"
"68-03-09-51",4.38,24.31,1.45,4.47,.6899999999999999,3.155511363636363,6.359096153846154,4.21,15.2955,4.75,.89,24.7,1.92,6.283499999999997,5.19,108.0536075174825,"00.01:50:36",110.6,"2023-05-30","07:40:12"
"14-68-63-82",2.18,14.54561538461538,.82,9.380000000000001,6.52,7.37,5.4,1.55,17.09,3.7665,1.004721689059501,8.529999999999999,1.92,3.55,3.8,87.42683707367489,"00.01:53:27",113.45,"2023-05-30","11:38:30"
"80-91-19-12",1.46,14.54561538461538,1.122230769230769,9.02,7.18,5.89,4.76,3.17,25.5,8.854499999999998,.51,16.70479768786127,1.4,5,2.73,107.8471438417074,"00.01:53:36",113.6,"2023-05-29","10:41:20"
"25-98-38-14",3.23,10.37,1.29,4.16,7.36,.15,5.7,1.96,15.7,5.91683908045977,.42,10.58,1.14,2.82,4.67,75.46683908045976,"00.01:22:47",82.78333333333333,"2023-05-29","12:45:33"
