interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"95-93-26-61",4,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"66-25-20-13",4,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"56-49-46-49",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"00-63-35-41",2,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"35-73-88-21",2,"Iron sheets","","Mud with poles","","Sand","","Piped water (house or public)","","No facility/Bush/polythene",""
"90-22-40-74",1,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"71-58-33-81",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"85-67-71-58",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"01-61-71-69",5,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"75-50-19-75",0,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Other, Specify","well","No facility/Bush/polythene",""
"89-26-96-48",5,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"73-20-13-57",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"55-53-09-17",1,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"16-20-70-88",3,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"14-74-46-71",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"15-43-32-03",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"62-79-94-11",1,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
