interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"58-35-74-86","Hectares","",.2,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,6,"Slight decrease","Massive decrease","No",,,"",1,"No","we have enough"
"23-82-30-50","Hectares","",1,0,0,0,.1,0,2,"Communally owned",,,,"Communally owned",,"Communally owned","No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,14,"Massive decrease","Massive decrease","No",,,"",2,"No","Satisfied with the current plot"
"76-76-95-07","Hectares","",4,3,0,0,800,0,0,"Communally owned","Private owned with land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,7,"Slight decrease","Massive decrease","No",,,"",1,"No","have enough"
"69-18-54-45","Hectares","",0,0,0,0,600,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Slight decrease","No",,,"",0,"No","have enough"
"99-14-10-16","Hectares","",0,0,.1,0,.35,0,0,,,"Communally owned",,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"No","Because of funds"
"55-02-31-58","Hectares","",.4,1,2,0,.4,0,0,"Communally owned","Communally owned","Communally owned",,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"Yes",.4,"No","No","Yes","No",,10,"Massive decrease","Massive decrease","No",,,"",1,"No","land is currently enough for me"
"55-65-32-92","Hectares","",5,75,0,0,.1,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,17,"The same","The same","No",,,"",3,"No","satisfied"
"66-00-67-40","Hectares","",3,0,0,0,.1,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No",,"No",,,,,,,5,"Slight increase","Slight increase","No",,,"",1,"Yes","For high yield purposes"
"41-51-06-54","Hectares","",5,0,0,0,500,0,0,"Private owned with land title",,,,"Private owned with land title",,,"Yes","Other individuals","","LC Court","","No","Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Massive decrease","No",,,"",3,"Yes","for future use, for my children"
"07-18-54-62","Hectares","",1,0,0,0,.2,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Massive decrease","Massive decrease","No",,,"",1,"No","have no money for another plot"
"73-70-79-76","Hectares","",0,0,.1,0,.4,0,0,,,"Communally owned",,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,14,"Slight decrease","Massive decrease","No",,,"",0,"Yes","Plot for her grandsons"
"40-83-72-17","Hectares","",2,0,0,0,.1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,7,"The same","The same","No",,,"",0,"Yes","for future kids"
"23-74-18-51","Hectares","",2,0,0,0,1,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"Slight decrease","Slight decrease","No",,,"",1,"No","we have enough"
"18-88-43-52","Hectares","",0,0,0,0,.1,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"The same","Massive increase","No",,,"",0,"Yes","To build houses and have more space to live"
"72-37-85-07","Hectares","",1,0,0,0,0,0,0,"Private owned with land title",,,,,,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,10,"Slight increase","Slight increase","No",,,"",1,"Yes","Have small plot currently"
"84-90-52-18","Hectares","",0,0,0,0,.2,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very likely","No",,,,,,,,,,,,,"No",,,,,,,7,"The same","The same","No",,,"",0,"Yes","Want to build rooms for rent"
"94-23-16-05","Hectares","",0,0,0,0,.3,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,5,"Massive decrease","Massive decrease","No",,,"",0,"No","for the children"
