interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"01-01-07-49",2,"No",,"No","No intention to migrate",,"",,,,,,
"01-01-07-49",3,"No",,"No","No intention to migrate",,"",,,,,,
"01-01-07-49",4,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",1,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",2,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",3,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",4,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",5,"No",,"No","No intention to migrate",,"",,,,,,
"05-21-83-90",6,"No",,"No","No intention to migrate",,"",,,,,,
"77-16-48-10",1,"No",,"No","No intention to migrate",,"",,,,,,
"75-23-18-05",1,"No",,"No","No intention to migrate",,"",,,,,,
"75-23-18-05",2,"No",,"No","No intention to migrate",,"",,,,,,
"83-84-60-99",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-84-60-99",2,"No",,"No","No intention to migrate",,"",,,,,,
"56-18-51-85",1,"No",,"No","No intention to migrate",,"",,,,,,
"56-18-51-85",2,"No",,"No","No intention to migrate",,"",,,,,,
"26-38-66-11",1,"No",,"No","No intention to migrate",,"",,,,,,
"26-38-66-11",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-68-27-34",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-68-27-34",2,"No",,"No","No intention to migrate",,"",,,,,,
"78-16-14-09",1,"No",,"No","No intention to migrate",,"",,,,,,
"78-16-14-09",2,"No",,"No","No intention to migrate",,"",,,,,,
"78-16-14-09",3,"No",,"No","No intention to migrate",,"",,,,,,
"78-16-14-09",4,"No",,"No","No intention to migrate",,"",,,,,,
"01-32-09-43",1,"No",,"No","No intention to migrate",,"",,,,,,
"01-32-09-43",2,"No",,"No","No intention to migrate",,"",,,,,,
"11-29-18-58",1,"No",,"No","No intention to migrate",,"",,,,,,
"11-29-18-58",2,"No",,"No","No intention to migrate",,"",,,,,,
"11-29-18-58",3,"No",,"No","No intention to migrate",,"",,,,,,
"11-29-18-58",4,"No",,"No","No intention to migrate",,"",,,,,,
"11-29-18-58",5,"No",,"No","No intention to migrate",,"",,,,,,
