interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"43-40-50-14",1,"Hectares","","Omba",2,"2019","Inherited",10,"Clay",0,1,0,0,0,1,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"33-52-73-44",1,"Hectares","","kunkanda",19,"1976","Inherited",15,"Clay",0,1,0,0,0,0,0,"",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"17-65-44-15",1,"Hectares","","Chilungu",4,"2007","Inherited",120,"Loam",1,0,0,0,0,0,0,"",0,0,0,0,0,0,1,"wild animals are always destroying the crops",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"","Yes",1,0,0,0,0,0,""
"77-00-14-73",1,"Hectares","","Chilungu",12,"1982","Inherited",15,"Loam",1,0,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"","Yes",1,0,0,0,0,0,""
"78-98-94-60",2,"Hectares","","malongo",.1,"2004","Inherited",60,"Loam",0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","No",,,,,,,""
"50-51-12-24",1,"Hectares","","Kabwi",10,"1989","Inherited",30,"Sand",0,1,0,0,0,0,1,"experience",0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Yes",1,0,1,0,0,0,""
"45-72-98-81",2,"Hectares","","Impalila",1,"1977","Inherited",30,"Silt",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Yes",0,0,0,0,0,1,"1 tree that bears fruits"
"98-20-22-18",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"12-87-62-64",1,"Hectares","","Eugene",3,"2014","Ceded by relatives",15,"Sand",0,1,0,0,0,0,0,"",0,1,1,1,0,0,0,"",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"","Yes",1,0,0,0,0,0,""
"02-24-60-64",1,"Hectares","","Nziba",800,"1995","Inherited",90,"Loam",1,0,0,0,0,0,1,"No animals are destroying the crops",0,0,0,0,0,0,1,"It's too far",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,0,1,1,0,0,""
"35-93-85-84",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"25-08-98-52",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"46-54-30-66",1,"Hectares","","Kasekelambali",25,"1986","Inherited",10,"Sand",0,0,0,0,0,1,0,"",0,0,0,0,0,0,1,"Too sandy, holds little water",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,1,0,0,0,0,""
"19-66-62-79",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
